PACK_NAME,NEW_DEFINITION,AUGMENT_DEFINITION,PARENT_DIRECTORY
.NET,TRUE,FALSE,.NET
.NET core,TRUE,FALSE,.NET
AWS RDS,TRUE,FALSE,AWS
AWS Lambda,TRUE,FALSE,AWS
.NET MVC Web API,TRUE,FALSE,.NET
Java,TRUE,FALSE,Java
AWS ELB,TRUE,FALSE,AWS
AWS Auto Scaling,TRUE,FALSE,AWS
NFS,TRUE,FALSE,NFS
PHP,FALSE,TRUE,PHP
Redis,FALSE,TRUE,Redis
AWS NLB/ALB,TRUE,FALSE,AWS
Kubernetes,TRUE,FALSE,Kubernetes
Node.js,TRUE,FALSE,Node.js
AWS EBS,TRUE,FALSE,AWS
AWS API Gateway,TRUE,FALSE,AWS
AWS EFS,TRUE,FALSE,AWS
AWS Billing,TRUE,FALSE,AWS
AWS VPC,TRUE,FALSE,AWS
Elasticsearch,FALSE,TRUE,Elasticsearch
AWS IAM,TRUE,FALSE,AWS
AWS Route 53,TRUE,FALSE,AWS
RabbitMQ,FALSE,TRUE,
WordPress,TRUE,FALSE,
Golang,TRUE,FALSE,Golang
AWS SES,TRUE,FALSE,AWS
Oracle Database,TRUE,FALSE,Oracle Database
Python,TRUE,FALSE,Python
React Native,TRUE,FALSE,
MongoDB,FALSE,TRUE,
Azure VMs,TRUE,FALSE,Azure
F5,TRUE,FALSE,
Azure App Service,TRUE,FALSE,Azure
Azure SQL Database,TRUE,FALSE,Azure
IIS,TRUE,FALSE,.NET
Azure API Management,TRUE,FALSE,Azure
AWS Cloudwatch plugin for Logs,FALSE,TRUE,AWS
AWS CloudFront,TRUE,FALSE,AWS
Laravel,TRUE,FALSE,PHP
Apache,FALSE,TRUE,Apache
AWS Glue,TRUE,FALSE,AWS
ASyncHTTPClient,TRUE,FALSE,Java
Linux,TRUE,FALSE,
Magento,TRUE,FALSE,PHP
NGINX,TRUE,FALSE,
PerfMon,TRUE,FALSE,
Rails,TRUE,FALSE,
Windows event log,TRUE,FALSE,
AMQPlib,TRUE,FALSE,Python
AWS AppSync,TRUE,FALSE,AWS
AWS CloudTrail,TRUE,FALSE,AWS
AWS Cognito,TRUE,FALSE,AWS
MSSQL,TRUE,FALSE,MSSQL
MySQL,FALSE,TRUE,MySQL
AWS Elastic Beanstalk,TRUE,FALSE,AWS
Azure Virtual Network,TRUE,FALSE,Azure
Azure Storage,TRUE,FALSE,Azure
Postgres,FALSE,TRUE,Postgres
AWS DynamoDB,TRUE,FALSE,AWS
AWS EC2,TRUE,TRUE,AWS
